kode,display,nama_pemeriksaan,kategori,permintaan_hasil,sumber
83311-1,Bone density quantitative measurement by DXA panel,Bone mineral densitometry (BMD),Radiologi,Permintaan,bag1/Example LOINC Terminology (User
24966-4,DXA Lumbar spine [Mass/Area] Bone density,Bone mineral densitometry (BMD) vertebra lumbal (g/cm2),Radiologi,Hasil,bag1/Example LOINC Terminology (User
38267-1,DXA Lumbar spine [T-score] Bone density,Bone mineral densitometry (BMD) vertebra lumbal (T-score),Radiologi,Hasil,bag1/Example LOINC Terminology (User
85394-5,DXA Lumbar spine [Z-score] Bone density,Bone mineral densitometry (BMD) vertebra lumbal (Z-score),Radiologi,Hasil,bag1/Example LOINC Terminology (User
63520-1,PhenX - body composition by dual-energy x-ray absorptiometry protocol 020301,Bone mineral densitometry (BMD) total body composition WO kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
83014-1,DXA Skeletal system.axial Views for bone density and vertebral fracture,Bone mineral densitometry (BMD) tulang aksial dan fraktur vertebra,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
83012-5,DXA Skeletal system.axial Views for bone density,Bone mineral densitometry (BMD) tulang axial,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
83013-3,DXA Skeletal system.peripheral Views for bone density,Bone mineral densitometry (BMD) tulang periferal,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24890-6,DXA Radius and Ulna [Mass/Area] Bone density,Bone mineral densitometry (BMD) forearm (g/cm2),Radiologi,Hasil,bag1/Example LOINC Terminology (User
38265-5,DXA Radius and Ulna [T-score] Bone density,Bone mineral densitometry (BMD) forearm (T-score),Radiologi,Hasil,bag1/Example LOINC Terminology (User
80932-7,DXA Radius and Ulna [Z-score] Bone density,Bone mineral densitometry (BMD) forearm (Z-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80952-5,DXA Radius and Ulna - left [Mass/Area] Bone density,Bone mineral densitometry (BMD) forearm kiri (g/cm2),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80944-2,DXA Radius and Ulna - left [T-score] Bone density,Bone mineral densitometry (BMD) forearm kiri (T-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80936-8,DXA Radius and Ulna - left [Z-score] Bone density,Bone mineral densitometry (BMD) forearm kiri (Z-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80951-7,DXA Radius and Ulna - right [Mass/Area] Bone density,Bone mineral densitometry (BMD) forearm kanan (g/cm2),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80943-4,DXA Radius and Ulna - right [T-score] Bone density,Bone mineral densitometry (BMD) forearm kanan (T-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80935-0,DXA Radius and Ulna - right [Z-score] Bone density,Bone mineral densitometry (BMD) forearm kanan (Z-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
38261-4,DXA Hip [Mass/Area] Bone density,Bone mineral densitometry (BMD) hip (g/cm2),Radiologi,Hasil,bag1/Example LOINC Terminology (User
38264-8,DXA Hip [T-score] Bone density,Bone mineral densitometry (BMD) hip (T-score),Radiologi,Hasil,bag1/Example LOINC Terminology (User
80933-5,DXA Hip [Z-score] Bone density,Bone mineral densitometry (BMD) hip (Z-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46279-6,DXA Hip - right [Mass/Area] Bone density,Bone mineral densitometry (BMD) hip kanan (g/cm2),Radiologi,Hasil,bag1/Example LOINC Terminology (User
80945-9,DXA Hip - right [T-score] Bone density,Bone mineral densitometry (BMD) hip kanan (T-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80937-6,DXA Hip - right [Z-score] Bone density,Bone mineral densitometry (BMD) hip kanan (Z-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46278-8,DXA Hip - left [Mass/Area] Bone density,Bone mineral densitometry (BMD) hip kiri (g/cm2),Radiologi,Hasil,bag1/Example LOINC Terminology (User
80946-7,DXA Hip - left [T-score] Bone density,Bone mineral densitometry (BMD) hip kiri (T-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80938-4,DXA Hip - left [Z-score] Bone density,Bone mineral densitometry (BMD) hip kiri (Z-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46383-6,DXA Bone [Mass/Area] Bone density,Bone mineral densitometry (BMD) bone,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24701-5,DXA Femur [Mass/Area] Bone density,Bone mineral densitometry (BMD) femur (g/cm2),Radiologi,Hasil,bag1/Example LOINC Terminology (User
38263-0,DXA Femur [T-score] Bone density,Bone mineral densitometry (BMD) femur (T-score),Radiologi,Hasil,bag1/Example LOINC Terminology (User
80934-3,DXA Femur [Z-score] Bone density,Bone mineral densitometry (BMD) femur (Z-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80954-1,DXA Femur - left [Mass/Area] Bone density,Bone mineral densitometry (BMD) femur kiri (g/cm2),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80948-3,DXA Femur - left [T-score] Bone density,Bone mineral densitometry (BMD) femur kiri (T-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80940-0,DXA Femur - left [Z-score] Bone density,Bone mineral densitometry (BMD) femur kiri (Z-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80953-3,DXA Femur - right [Mass/Area] Bone density,Bone mineral densitometry (BMD) femur kanan (g/cm2),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80947-5,DXA Femur - right [T-score] Bone density,Bone mineral densitometry (BMD) femur kanan (T-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80939-2,DXA Femur - right [Z-score] Bone density,Bone mineral densitometry (BMD) femur kanan (Z-score),Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
97100-2,Colonoscopy+US Study,Colonoscopy dengan lower endoscopic ultrasound,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
79103-8,CT Abdomen W contrast IV,CT abdomen atas dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36424-0,CT Abdomen WO contrast,CT abdomen atas nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36813-4,CT Abdomen and Pelvis W contrast IV,CT abdomen dan pelvis dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
99610-8,CT Abdomen and Pelvis W contrast PO,CT abdomen dan pelvis dengan kontras PO,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36952-0,CT Abdomen and Pelvis WO contrast,CT abdomen dan pelvis nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
42274-1,CT Abdomen and Pelvis WO and W contrast IV,CT abdomen dan pelvis nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
79103-8,CT Abdomen W contrast IV,CT abdomen dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36424-0,CT Abdomen WO contrast,CT abdomen nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36267-3,CT Abdomen WO and W contrast IV,CT abdomen tanpa kontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
69087-5,CT Ankle - bilateral WO contrast,CT ankle bilateral nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36135-2,CT Ankle W contrast IV,CT ankle dan pedis dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36425-7,CT Ankle WO contrast,CT ankle dan pedis nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36425-7,CT Ankle WO contrast,CT ankle nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36185-7,CT Forearm W contrast IV,CT antebrachi dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36472-9,CT Forearm WO contrast,CT antebrachi nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
35998-4,CT Forearm - bilateral,CT antebrachi bilateral nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36143-6,CT Abdominal Aorta W contrast IV,CT aorta abdominalis dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36142-8,CT Thoracic and abdominal aorta W contrast IV,CT aorta thorakalis dan abdominalis dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24545-6,CT Thoracic Aorta W contrast IV,CT aorta thorakalis dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36145-1,CT Appendix W contrast IV,CT appendicogram dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86969-3,CT Shoulder - bilateral W contrast IV,CT bahu bilateral dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
69090-9,CT Shoulder - bilateral WO contrast,CT bahu bilateral nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36250-9,CT Shoulder W contrast IV,CT bahu kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36524-7,CT Shoulder WO contrast,CT bahu nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
44229-3,CT Bone,CT bone,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24734-6,CT Cerebral cisterns W contrast IT,CT cairan serebrospinal sisternografi dengan kontras IT,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
79087-3,CT Heart and Coronary arteries for calcium scoring WO contrast,CT cardiac scoring,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
99633-0,Cone beam CT Teeth,CT cone beam (CBCT) gigi lengkap,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
99633-0,Cone beam CT Teeth,CT cone beam (CBCT) satu gigi,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
87879-3,CT Lower leg - bilateral WO contrast,CT cruris bilateral nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36537-9,CT Lower leg WO contrast,CT cruris nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36444-8,CT Elbow - bilateral WO contrast,CT cubiti bilateral nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36157-6,CT Elbow W contrast IV,CT cubiti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36443-0,CT Elbow WO contrast,CT cubiti nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30626-6,CT Upper extremity W contrast IV,CT ekstremitas atas dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30627-4,CT Upper extremity WO contrast,CT ekstremitas atas nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36334-1,CT Upper extremity WO and W contrast IV,CT ekstremitas atas nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30624-1,CT Lower extremity W contrast IV,CT ekstremitas bawah dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30625-8,CT Lower extremity WO contrast,CT ekstremitas bawah nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36288-9,CT Lower extremity WO and W contrast IV,CT ekstremitas bawah nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
87881-9,CT Thigh - bilateral WO contrast,CT femur bilateral nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36172-5,CT Thigh W contrast IV,CT femur dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36460-4,CT Thigh WO contrast,CT femur nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36242-6,CT Posterior fossa W contrast IV,CT fossa posterior dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36517-1,CT Posterior fossa WO contrast,CT fossa posterior nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36387-9,CT Posterior fossa WO and W contrast IV,CT fossa posterior nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36222-8,CT Knee W contrast IV,CT genu dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36505-6,CT Knee WO contrast,CT genu nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46290-3,CT Guidance for biopsy of Unspecified body region-- WO contrast,CT guidance biopsy jarum nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
58747-7,CT Guidance for ablation of tissue of Unspecified body region,CT guidance untuk ablasi dan pemantauan jaringan parenkimal,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
43444-9,CT Guidance for percutaneous drainage of abscess and placement of drainage catheter of Unspecified body region,CT guidance untuk drainase abses perkutan dan penempatan kateter drainase,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
89932-8,CT Guidance for deep placement of needle of Unspecified body region,CT guidance untuk penempatan jarum,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
58744-4,CT Heart,CT jantung,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
79089-9,CT Heart W contrast IV,CT jantung dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
79088-1,CT Heart for congenital disease W contrast IV,CT jantung dengan kontras IV untuk penyakit jantung bawaan,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
99612-4,CT Heart WO contrast,CT jantung nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
79087-3,CT Heart and Coronary arteries for calcium scoring WO contrast,CT jantung nonkontras dengan pemeriksaan kalsium koroner secara kuantitatif,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36235-0,CT Neck W contrast IV,CT jaringan lunak leher dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36514-8,CT Neck WO contrast,CT jaringan lunak leher nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30586-2,CT Neck WO and W contrast IV,CT jaringan lunak leher nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24727-0,CT Head W contrast IV,CT kepala dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30799-1,CT Head WO contrast,CT kepala nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24726-2,CT Head WO and W contrast IV,CT kepala nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
82688-3,CT Colon and Rectum WO and W contrast IV and W air contrast PR,CT kolonografi nonkontras dan diikuti dengan kontras IV dan kontras PR,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
79071-7,CT Colon and Rectum WO contrast IV and W air contrast PR,CT kolonografi nonkontras IV diikuti dengan kontras PR,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
79069-1,CT Colon and Rectum for screening WO contrast IV and W air contrast PR,CT kolonografi skrining non kontras IV dan diikuti dengan kontras PR,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36004-0,CT Hand - bilateral,CT manus bilateral nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36191-5,CT Hand W contrast IV,CT manus dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36477-8,CT Hand WO contrast,CT manus nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
87900-7,CT Mastoid W contrast IV,CT mastoid high resolution dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46298-6,CT Mastoid - bilateral,CT mastoid high resolution nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46298-6,CT Mastoid - bilateral,CT mastoid nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36049-5,CT Maxilla and Mandible,CT maxilla dan mandibula,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30801-5,CT Maxillofacial region W contrast IV,CT maxillofacial dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30802-3,CT Maxillofacial region WO contrast,CT maxillofacial nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30803-1,CT Maxillofacial region WO and W contrast IV,CT maxillofacial nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24836-9,CT Nasopharynx and Neck W contrast IV,"CT nasofaring, orofaring, laring dan leher dengan kontras",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30585-4,CT Nasopharynx and Neck WO contrast,"CT nasofaring, orofaring, laring dan leher nonkontras",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46320-8,CT Orbit and Face W contrast IV,CT orbita dan wajah dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86988-3,CT Orbit and Face WO contrast,CT orbita dan wajah nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
48449-3,CT Orbit W contrast IV,CT orbita dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46331-5,CT Orbit WO contrast,CT orbita nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
48451-9,CT Orbit WO and W contrast IV,CT orbita nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86967-7,CT Foot - bilateral WO contrast,CT pedis bilateral nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36466-1,CT Foot WO contrast,CT pedis nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24866-6,CT Pelvis W contrast IV,CT pelvis dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30615-9,CT Pelvis WO contrast,CT pelvis nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30616-7,CT Pelvis WO and W contrast IV,CT pelvis nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
95925-4,CT Skeletal system.axial Multisection for bone density,CT pemeriksaan densitas mineral tulang satu lokasi atau lebih pada tulang-tulang aksial,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24728-8,CT perfusion Head,CT perfusi kepala dengan kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39142-5,CT perfusion Head W contrast IV,CT perfusi serebral dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30590-4,CT Pituitary and Sella turcica W contrast IV,CT pituitari dan sella turcica dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30591-2,CT Pituitary and Sella turcica WO contrast,CT pituitari dan sella turcica nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24904-5,CT Pituitary and Sella turcica WO and W contrast IV,CT pituitari dan sella turcica nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
78973-5,CT scanogram Lower extremity - bilateral for leg measurement WO contrast,CT scanogram ekstremitas bawah bilateral nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30588-8,CT Sinuses,CT sinus,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36255-8,CT Sinuses W contrast IV,CT sinus kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36529-6,CT Sinuses WO contrast,CT sinus nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30583-9,CT Internal auditory canal W contrast IV,CT telinga dalam dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30584-7,CT Internal auditory canal WO contrast,CT telinga dalam nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36282-2,CT Internal auditory canal WO and W contrast IV,CT telinga dalam nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36460-4,CT Thigh WO contrast,CT thigh nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
42275-8,CT Chest and Abdomen W contrast IV,CT thorakoabdominal dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24628-0,CT Chest W contrast IV,CT thorax dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
29252-4,CT Chest WO contrast,CT thorax nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30598-7,CT Chest WO and W contrast IV,CT thorax nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37283-9,CT Temporomandibular joint WO contrast,CT TMJ nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
87866-0,CT Kidney and Ureter and Urinary bladder WO and W contrast IV,CT urografi dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30600-1,CT Small bowel W positive contrast via enteroclysis tube,CT usus halus melalui tabung enteroklisis,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86985-9,CT Cervical and thoracic spine W contrast IV,CT vertebra cervical dan thoracic kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
83304-6,CT Cervical and thoracic spine WO contrast,CT vertebra cervical dan thoracic nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24934-2,CT Cervical spine W contrast IT,CT vertebra cervical dengan kontras IT,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24933-4,CT Cervical spine W contrast IV,CT vertebra cervical dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30592-0,CT Cervical spine WO contrast,CT vertebra cervical nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36401-8,CT Cervical spine WO and W contrast IV,CT vertebra cervical nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86959-4,CT Cervical and thoracic spine WO and W contrast IV,CT vertebra cerviothoracal dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
83304-6,CT Cervical and thoracic spine WO contrast,CT vertebra cerviothoracal nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24965-6,CT Lumbar spine W contrast IT,CT vertebra lumbal dengan kontras IT,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24964-9,CT Lumbar spine W contrast IV,CT vertebra lumbal dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30620-9,CT Lumbar spine WO contrast,CT vertebra lumbal nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
44114-7,CT Lumbar spine WO and W contrast IT,CT vertebra lumbal nonkontras diikuti dengan kontras IT,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36402-6,CT Lumbar spine WO and W contrast IV,CT vertebra lumbal tanpa kontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
82697-4,CT Spine Lumbar and Sacrum WO contrast,CT vertebra lumbar dan sacrum nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
82696-6,CT Spine Lumbar and Sacrum W contrast IV,CT vertebra lumbosacral dengan kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
82697-4,CT Spine Lumbar and Sacrum WO contrast,CT vertebra lumbosacral nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30596-1,CT Thoracic spine W contrast IT,CT vertebra thoracal dengan kontras IT,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24979-7,CT Thoracic spine W contrast IV,CT vertebra thoracal dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30597-9,CT Thoracic spine WO contrast,CT vertebra thoracal nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
44113-9,CT Thoracic spine WO and W contrast IT,CT vertebra thoracal nonkontras diikuti dengan kontras IT,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36403-4,CT Thoracic spine WO and W contrast IV,CT vertebra thoracal nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
83294-9,CT Thoracic and lumbar spine W contrast IV,CT vertebra thoracolumbar dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
83310-3,CT Thoracic and lumbar spine WO contrast,CT vertebra thoracolumbar nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
18744-3,Bronchoscopy study,CT virtual bronchoscopy / thorax-nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37447-0,CT Wrist W contrast IV,CT wrist dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37459-5,CT Wrist WO contrast,CT wrist nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
82679-2,CTA Abdominal vessels and Pelvis vessels WO and W contrast IV,CTA abdomen dan pelvis nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30805-6,CTA Abdominal vessels WO and W contrast IV,CTA abdomen nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
78037-9,CTA Abdominal Aorta and Bilateral Runoff Vessels W contrast IV,CTA aorta abdominalis dan iliofemoral bilateral dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
78031-2,CTA Abdominal Aorta and Bilateral Runoff Vessels WO and W contrast IV,CTA aorta abdominalis dan iliofemoral bilateral non kontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36146-9,CTA Carotid artery W contrast IV,CTA carotis dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36830-8,CTA Head vessels W contrast IV,CTA cerebral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37498-3,CTA Head vessels and Neck vessels W contrast IV,CTA cerebral dan carotis,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
42295-6,CTA Upper extremity vessels W contrast IV,CTA ekstremitas atas dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36421-6,CTA Upper extremity vessels WO and W contrast IV,CTA ekstremitas atas nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
87845-4,CTA Lower extremity vessels,CTA ekstremitas bawah,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30807-2,CTA Lower extremity vessels WO and W contrast IV,CTA ekstremitas bawah nonkontras dilanjutkan dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
